scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,CENTRAL,2020,404522.483141063,636573.5142209777,809044.966282125,691799.77984,89938.5398183894,292498.8891068741,0.0,0.0,0.0,0.0,175758.315742323,385732.520622973,167707.303249027,138359.955968,718938.7355475085,232512.33395914812,135481.392881757,507517.10502915597,875510.8318700611
BAU,Business-as-Usual,CENTRAL,2021,397701.09648502,630346.3520524029,795456.074533787,753341.431519136,89024.0432510706,290756.63106057455,0.0,0.0,0.0,0.0,172931.73912033,414691.909668329,187783.460317244,150618.842496393,708330.1601090995,246648.72339944262,152400.769975309,535193.203604252,934242.6969790036
BAU,Business-as-Usual,CENTRAL,2022,415372.038912295,662967.3516523371,830569.0577200621,864110.15988175,93582.1814102751,304243.29751592496,0.0,0.0,0.0,0.0,180023.772197475,470674.525364465,220307.741957233,172745.566830425,737979.2098785937,276547.5988124257,179464.081984217,596407.922273499,1052419.6030701417
BAU,Business-as-Usual,CENTRAL,2023,410867.060692609,660651.0586993638,821769.081309533,931410.548479492,93228.9923295601,303869.3012258767,0.0,0.0,0.0,0.0,178219.01081567,502986.369191566,241935.79524113,186230.541108174,731348.256567233,292683.337532001,197722.915575209,628098.7377125031,1118504.990819713
BAU,Business-as-Usual,CENTRAL,2024,406806.247003449,658845.5822487236,813642.237764094,998683.325268955,92937.8453052629,304361.14895401476,0.0,0.0,0.0,0.0,176577.123540821,535321.065531121,263421.799130677,199685.71616545,725726.9695893872,308757.75380629994,215823.123411498,660026.473720201,1184607.3509379989
BAU,Business-as-Usual,CENTRAL,2025,402929.79828716,657269.3631732109,805888.18646646,1065277.0994466,92679.9845734935,301371.9582851564,0.0,0.0,0.0,0.0,174337.767708031,567389.083968267,284633.001780492,213005.521437189,716735.4475831139,324583.7398507027,233685.218857855,690690.191497184,1248959.1502057416
BAU,Business-as-Usual,CENTRAL,2026,405528.16865471,666209.0795633616,811024.683520947,1149086.14191805,93902.1002740344,305282.47643865953,0.0,0.0,0.0,0.0,175245.278527505,608639.703704219,310392.895308105,229758.149753081,721262.6332274321,345664.09621298104,255264.428608353,733084.9947684839,1334013.519589818
BAU,Business-as-Usual,CENTRAL,2027,408223.922709115,675405.9593198332,816416.095573254,1234340.1683877,95163.2667190718,309329.6031532807,0.0,0.0,0.0,0.0,176244.36591818,650670.226074654,336564.090556465,246808.57915778,726121.2963098306,367162.5909372969,277192.95039906,776337.595257503,1420693.1365938599
BAU,Business-as-Usual,CENTRAL,2028,411322.994421199,685327.2734088161,822610.778354414,1322076.76823954,96526.0313130595,313705.7185932407,0.0,0.0,0.0,0.0,177412.754283652,694001.060621355,363418.385151756,264354.861443278,731689.9118945287,389332.8765465507,299683.349983583,821017.875265981,1510034.1017961148
BAU,Business-as-Usual,CENTRAL,2029,414421.943143575,695306.0542598324,828809.000684859,1411076.77807444,97896.8071111888,318106.9415391328,0.0,0.0,0.0,0.0,178581.825785304,737993.252357941,390624.720222591,282154.493145133,737266.9440691525,411818.5593774356,322464.448430521,866366.351442222,1600649.3592501786
