scenario,label,variant,year,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_usd,required_investment_pv_3_5_usd,opex_usd,capex_usd,revenue_usd,net_annual_cost_usd,ghg_total,jobs_total,investment_per_t_avoided_usd
BAU,Business-as-Usual,CENTRAL,2020,232512.33395914812,135481.392881757,507517.10502915597,875510.8318700611,0.0,0.0,0.0,2459394387.2019453,785574216.0276856,580409359.8843598,2664559243.345271,7104163.769308428,65883.19363737307,
BAU,Business-as-Usual,CENTRAL,2021,246648.72339944262,152400.769975309,535193.203604252,934242.6969790036,0.0,596509712.5723157,576337886.5433003,2545182470.7838144,814529755.3523195,576239404.7484256,2783472821.3877087,7374791.569091511,66059.06309286293,
BAU,Business-as-Usual,CENTRAL,2022,276547.5988124257,179464.081984217,596407.922273499,1052419.6030701417,0.0,1581145835.2800615,1476016556.0737116,2791723193.7429786,894942763.6609,603738258.2560434,3082927699.1478353,8109336.234323201,70324.60002069945,
BAU,Business-as-Usual,CENTRAL,2023,292683.337532001,197722.915575209,628098.7377125031,1118504.990819713,0.0,692365623.564273,624474123.8290879,2894678813.021253,929409303.1710942,602583778.2603377,3221504337.9320097,8430081.596102731,70914.84089044377,
BAU,Business-as-Usual,CENTRAL,2024,308757.75380629994,215823.123411498,660026.473720201,1184607.3509379989,0.0,704939501.7077055,614314049.7608844,2999477948.483496,964469034.7245178,602718512.919424,3361228470.28859,8755638.533778882,71563.96925208547,
BAU,Business-as-Usual,CENTRAL,2025,324583.7398507027,233685.218857855,690690.191497184,1248959.1502057416,0.0,699943098.3971301,589333307.1781993,3102349315.9786625,998824767.588086,605346281.7503289,3495827801.8164196,9071843.837875726,72202.64519808897,
BAU,Business-as-Usual,CENTRAL,2026,345664.09621298104,255264.428608353,733084.9947684839,1334013.519589818,0.0,1004952381.6191496,817529409.945789,3255970989.1692696,1049560982.7029932,620615356.6196212,3684916615.2526417,9538343.295483092,74011.10804350337,
BAU,Business-as-Usual,CENTRAL,2027,367162.5909372969,277192.95039906,776337.595257503,1420693.1365938599,0.0,1026105281.8317957,806509476.2297143,3412379311.5161157,1101213870.4667497,636365584.7444942,3877227597.238371,10013331.381232094,75858.60327672595,
BAU,Business-as-Usual,CENTRAL,2028,389332.8765465507,299683.349983583,821017.875265981,1510034.1017961148,0.0,1061560455.9075761,806161277.8384048,3574354228.0840807,1154683771.433954,652996630.3252305,4076041369.1928043,10504783.912446136,77801.67207562893,
BAU,Business-as-Usual,CENTRAL,2029,411818.5593774356,322464.448430521,866366.351442222,1600649.3592501786,0.0,1075801553.435229,789348919.6851276,3738514753.0913587,1208879550.3616457,669893910.6346058,4277500392.818399,11002789.438158311,79765.27895696509,
BAU,Business-as-Usual,CENTRAL,2030,434586.6388912791,345505.336687207,912317.220657127,1692409.196235613,0.0,1089042000.7236793,772042363.2331476,3904620079.164093,1263722562.971567,687026385.4795893,4481316256.656071,11506602.297712805,81745.35881859942,
BAU,Business-as-Usual,CENTRAL,2031,457965.3708588032,369065.226174009,959560.976801389,1786591.5738342013,0.0,1120911334.3693306,767763413.9468055,4075647553.433678,1320176442.6150723,704921390.2455935,4690902605.803156,12024970.302830394,83804.25276542487,
BAU,Business-as-Usual,CENTRAL,2032,481538.1328891721,392807.691951624,1007215.667119306,1881561.4919601022,0.0,1128501112.3225274,746823188.2357529,4247805168.7078896,1377013368.474744,722931969.8894429,4901886567.29319,12546715.965149567,85863.45796736536,
BAU,Business-as-Usual,CENTRAL,2033,505679.58855757985,417037.244798097,1056070.771659297,1978787.6050149738,0.0,1157600081.3264902,740174299.4396219,4424467862.18928,1435327376.0209363,741629182.3348408,5118166055.875375,13081773.556101786,87991.22362440499,
BAU,Business-as-Usual,CENTRAL,2034,529996.8097191022,441426.975000791,1105296.244925788,2076720.0296456811,0.0,1164339797.02801,719307924.2983421,4602127745.351237,1493980593.5844743,760438817.6653017,5335669521.270411,13619771.346466163,90117.80687508741,
BAU,Business-as-Usual,CENTRAL,2035,554445.8931352313,465934.654964909,1154804.831287408,2175185.379387548,0.0,1169161270.5761993,697861394.0663906,4780471043.237453,1552870110.660433,770939800.1000308,5562401353.797855,14159744.196409404,92238.53808800514,
BAU,Business-as-Usual,CENTRAL,2036,579449.7951084137,490910.714098572,1205480.480690598,2275840.9898975836,0.0,1197556963.5413704,690638180.4895185,4963205664.833978,1613199690.5024877,781893879.249201,5794511476.087265,14712629.871707011,94426.01616173328,
BAU,Business-as-Usual,CENTRAL,2037,604593.160187156,515998.582061643,1256449.442114687,2377041.1843634862,0.0,1202774977.0103967,670190762.99953,5146713849.009441,1673793231.8502278,792742639.908175,6027764440.951494,15267691.999286996,96611.91487472632,
