scenario,label,variant,year,generation_from_econs_flow_t,generation_from_flow42_t,waste_generated_total_t,generation_from_econs_flow_Mt,generation_from_flow42_Mt,waste_generated_total_Mt,flow42_minus_econs_t
BAU,Business-as-Usual,CENTRAL,2020,1330384.192,1330384.192,1330384.1919999989,1.3303841920000001,1.3303841920000001,1.3303841919999988,0.0
BAU,Business-as-Usual,CENTRAL,2021,1382917.85029996,1383185.5455,1382917.850299961,1.38291785029996,1.3831855455,1.3829178502999608,267.69520004000515
BAU,Business-as-Usual,CENTRAL,2022,1523747.8113644,1524464.073,1523747.811364399,1.5237478113644,1.524464073,1.523747811364399,716.2616356001236
BAU,Business-as-Usual,CENTRAL,2023,1585757.32612571,1586069.6575,1585757.326125708,1.58575732612571,1.5860696575,1.5857573261257079,312.3313742899336
BAU,Business-as-Usual,CENTRAL,2024,1648524.20900952,1648842.458,1648524.2090095188,1.64852420900952,1.648842458,1.648524209009519,318.24899048008956
BAU,Business-as-Usual,CENTRAL,2025,1710874.30125806,1711190.39626,1710874.3012580571,1.7108743012580598,1.7111903962600001,1.7108743012580572,316.0950019401498
BAU,Business-as-Usual,CENTRAL,2026,1800839.95940024,1801296.78572,1800839.959400238,1.80083995940024,1.80129678572,1.800839959400238,456.82631975994445
BAU,Business-as-Usual,CENTRAL,2027,1892401.20120609,1892865.441,1892401.2012060941,1.89240120120609,1.892865441,1.8924012012060942,464.2397939101793
BAU,Business-as-Usual,CENTRAL,2028,1987121.03485996,1987601.33208,1987121.034859954,1.98712103485996,1.9876013320800001,1.987121034859954,480.29722004011273
BAU,Business-as-Usual,CENTRAL,2029,2083124.74078772,2083611.4984,2083124.740787719,2.0831247407877203,2.0836114984,2.083124740787719,486.7576122798491
BAU,Business-as-Usual,CENTRAL,2030,2180276.03758011,2180768.61004,2180276.037580109,2.1802760375801102,2.1807686100400003,2.1802760375801093,492.5724598900415
BAU,Business-as-Usual,CENTRAL,2031,2280238.78264338,2280745.65174,2280238.78264338,2.28023878264338,2.28074565174,2.28023878264338,506.86909662000835
BAU,Business-as-Usual,CENTRAL,2032,2380892.96313488,2381403.28272,2380892.963134882,2.38089296313488,2.38140328272,2.380892963134882,510.31958511983976
BAU,Business-as-Usual,CENTRAL,2033,2484131.247806,2484654.7176,2484131.247806001,2.4841312478060003,2.4846547176000002,2.484131247806001,523.4697940000333
BAU,Business-as-Usual,CENTRAL,2034,2587983.86783414,2588510.40108,2587983.867834145,2.58798386783414,2.58851040108,2.5879838678341454,526.5332458601333
BAU,Business-as-Usual,CENTRAL,2035,2692270.40486038,2692799.1336,2692270.404860373,2.69227040486038,2.6927991336,2.692270404860373,528.7287396197207
BAU,Business-as-Usual,CENTRAL,2036,2799076.8241635,2799618.38225,2799076.824163497,2.7990768241635,2.79961838225,2.799076824163497,541.5580864995718
BAU,Business-as-Usual,CENTRAL,2037,2906361.02601945,2906904.95336,2906361.026019451,2.9063610260194497,2.90690495336,2.906361026019451,543.9273405503482
BAU,Business-as-Usual,CENTRAL,2038,3014087.97395389,3014634.14532,3014087.973953886,3.01408797395389,3.01463414532,3.014087973953886,546.1713661099784
BAU,Business-as-Usual,CENTRAL,2039,3124213.87595949,3124772.26022,3124213.8759594862,3.12421387595949,3.12477226022,3.1242138759594864,558.3842605100945
BAU,Business-as-Usual,CENTRAL,2040,3234792.55189994,3235353.18113,3234792.551899937,3.2347925518999396,3.23535318113,3.234792551899937,560.629230060149
BAU,Business-as-Usual,CENTRAL,2041,3348105.12827976,3348679.67718001,3348105.1282797633,3.34810512827976,3.34867967718001,3.348105128279763,574.5489002498798
BAU,Business-as-Usual,CENTRAL,2042,3462149.3227539,3462727.52882,3462149.322753901,3.4621493227539,3.4627275288200003,3.462149322753901,578.2060660999268
BAU,Business-as-Usual,CENTRAL,2043,3578841.5394663,3579433.22039,3578841.5394663042,3.5788415394663002,3.57943322039,3.5788415394663042,591.680923699867
BAU,Business-as-Usual,CENTRAL,2044,3698253.30875117,3698858.779,3698253.3087511663,3.69825330875117,3.698858779,3.698253308751166,605.470248830039
BAU,Business-as-Usual,LOWER,2020,1330384.192,1330384.192,1128308.17644067,1.3303841920000001,1.3303841920000001,1.12830817644067,0.0
BAU,Business-as-Usual,LOWER,2021,1382917.85029954,1383185.5455,1183692.357514703,1.38291785029954,1.3831855455,1.183692357514703,267.69520046003163
BAU,Business-as-Usual,LOWER,2022,1523747.81136438,1524464.073,1315009.630810483,1.5237478113643799,1.524464073,1.3150096308104828,716.261635620147
BAU,Business-as-Usual,LOWER,2023,1585757.32612579,1586069.6575,1378693.409276549,1.5857573261257898,1.5860696575,1.378693409276549,312.3313742100727
BAU,Business-as-Usual,LOWER,2024,1648524.20900924,1648842.458,1442886.153909423,1.64852420900924,1.648842458,1.4428861539094229,318.2489907601848
BAU,Business-as-Usual,LOWER,2025,1710874.30125792,1711190.39626,1506579.132578577,1.71087430125792,1.7111903962600001,1.506579132578577,316.09500208008103
BAU,Business-as-Usual,LOWER,2026,1800839.95939939,1801296.78572,1594596.568463952,1.80083995939939,1.80129678572,1.594596568463952,456.82632061000913
BAU,Business-as-Usual,LOWER,2027,1892401.20120525,1892865.441,1684161.931698403,1.89240120120525,1.892865441,1.6841619316984031,464.2397947499994
BAU,Business-as-Usual,LOWER,2028,1987121.03485906,1987601.33208,1776671.964994546,1.98712103485906,1.9876013320800001,1.776671964994546,480.29722094000317
BAU,Business-as-Usual,LOWER,2029,2083124.74078595,2083611.4984,1870459.395401123,2.08312474078595,2.0836114984,1.870459395401123,486.7576140498277
BAU,Business-as-Usual,LOWER,2030,2180276.03757861,2180768.61004,1965394.277550193,2.1802760375786097,2.1807686100400003,1.965394277550193,492.57246139040217
BAU,Business-as-Usual,LOWER,2031,2280238.78264217,2280745.65174,2062973.8320408608,2.28023878264217,2.28074565174,2.0629738320408606,506.86909783026204
BAU,Business-as-Usual,LOWER,2032,2380892.96313407,2381403.28272,2161283.1123464247,2.38089296313407,2.38140328272,2.1612831123464247,510.3195859300904
BAU,Business-as-Usual,LOWER,2033,2484131.24780518,2484654.7176,2262036.533208252,2.48413124780518,2.4846547176000002,2.262036533208252,523.4697948200628
BAU,Business-as-Usual,LOWER,2034,2587983.8678334,2588510.40108,2363440.092836805,2.5879838678334,2.58851040108,2.363440092836805,526.5332466000691
BAU,Business-as-Usual,LOWER,2035,2692270.40485944,2692799.1336,2465319.969099372,2.69227040485944,2.6927991336,2.4653199690993723,528.7287405598909
BAU,Business-as-Usual,LOWER,2036,2799076.82416227,2799618.38225,2569578.076767686,2.79907682416227,2.79961838225,2.569578076767686,541.5580877298489
BAU,Business-as-Usual,LOWER,2037,2906361.02601718,2906904.95336,2674336.814092587,2.9063610260171804,2.90690495336,2.6743368140925874,543.9273428199813
BAU,Business-as-Usual,LOWER,2038,3014087.97395002,3014634.14532,2779552.527287877,3.01408797395002,3.01463414532,2.779552527287877,546.1713699800894
BAU,Business-as-Usual,LOWER,2039,3124213.87595518,3124772.26022,2887021.379400989,3.1242138759551796,3.12477226022,2.887021379400989,558.3842648202553
BAU,Business-as-Usual,LOWER,2040,3234792.55189847,3235353.18113,2994943.064221531,3.23479255189847,3.23535318113,2.9949430642215313,560.629231529776
