scenario,label,variant,year,plastic_waste_generation_t,plastic_waste_generation_Mt
BAU,Business-as-Usual,CENTRAL,2020,1330384.192,1.3303841920000001
BAU,Business-as-Usual,CENTRAL,2021,1383185.5455,1.3831855455
BAU,Business-as-Usual,CENTRAL,2022,1524464.073,1.524464073
BAU,Business-as-Usual,CENTRAL,2023,1586069.6575,1.5860696575
BAU,Business-as-Usual,CENTRAL,2024,1648842.458,1.648842458
BAU,Business-as-Usual,CENTRAL,2025,1711190.39626,1.7111903962600001
BAU,Business-as-Usual,CENTRAL,2026,1801296.78572,1.80129678572
BAU,Business-as-Usual,CENTRAL,2027,1892865.441,1.892865441
BAU,Business-as-Usual,CENTRAL,2028,1987601.33208,1.9876013320800001
BAU,Business-as-Usual,CENTRAL,2029,2083611.4984,2.0836114984
BAU,Business-as-Usual,CENTRAL,2030,2180768.61004,2.1807686100400003
BAU,Business-as-Usual,CENTRAL,2031,2280745.65174,2.28074565174
BAU,Business-as-Usual,CENTRAL,2032,2381403.28272,2.38140328272
BAU,Business-as-Usual,CENTRAL,2033,2484654.7176,2.4846547176000002
BAU,Business-as-Usual,CENTRAL,2034,2588510.40108,2.58851040108
BAU,Business-as-Usual,CENTRAL,2035,2692799.1336,2.6927991336
BAU,Business-as-Usual,CENTRAL,2036,2799618.38225,2.79961838225
BAU,Business-as-Usual,CENTRAL,2037,2906904.95336,2.90690495336
BAU,Business-as-Usual,CENTRAL,2038,3014634.14532,3.01463414532
BAU,Business-as-Usual,CENTRAL,2039,3124772.26022,3.12477226022
BAU,Business-as-Usual,CENTRAL,2040,3235353.18113,3.23535318113
BAU,Business-as-Usual,CENTRAL,2041,3348679.67718001,3.34867967718001
BAU,Business-as-Usual,CENTRAL,2042,3462727.52882,3.4627275288200003
BAU,Business-as-Usual,CENTRAL,2043,3579433.22039,3.57943322039
BAU,Business-as-Usual,CENTRAL,2044,3698858.779,3.698858779
BAU,Business-as-Usual,LOWER,2020,1330384.192,1.3303841920000001
BAU,Business-as-Usual,LOWER,2021,1383185.5455,1.3831855455
BAU,Business-as-Usual,LOWER,2022,1524464.073,1.524464073
BAU,Business-as-Usual,LOWER,2023,1586069.6575,1.5860696575
BAU,Business-as-Usual,LOWER,2024,1648842.458,1.648842458
BAU,Business-as-Usual,LOWER,2025,1711190.39626,1.7111903962600001
BAU,Business-as-Usual,LOWER,2026,1801296.78572,1.80129678572
BAU,Business-as-Usual,LOWER,2027,1892865.441,1.892865441
BAU,Business-as-Usual,LOWER,2028,1987601.33208,1.9876013320800001
BAU,Business-as-Usual,LOWER,2029,2083611.4984,2.0836114984
BAU,Business-as-Usual,LOWER,2030,2180768.61004,2.1807686100400003
BAU,Business-as-Usual,LOWER,2031,2280745.65174,2.28074565174
BAU,Business-as-Usual,LOWER,2032,2381403.28272,2.38140328272
BAU,Business-as-Usual,LOWER,2033,2484654.7176,2.4846547176000002
BAU,Business-as-Usual,LOWER,2034,2588510.40108,2.58851040108
BAU,Business-as-Usual,LOWER,2035,2692799.1336,2.6927991336
BAU,Business-as-Usual,LOWER,2036,2799618.38225,2.79961838225
BAU,Business-as-Usual,LOWER,2037,2906904.95336,2.90690495336
BAU,Business-as-Usual,LOWER,2038,3014634.14532,3.01463414532
BAU,Business-as-Usual,LOWER,2039,3124772.26022,3.12477226022
BAU,Business-as-Usual,LOWER,2040,3235353.18113,3.23535318113
BAU,Business-as-Usual,LOWER,2041,3348679.67718001,3.34867967718001
BAU,Business-as-Usual,LOWER,2042,3462727.52882,3.4627275288200003
BAU,Business-as-Usual,LOWER,2043,3579433.22039,3.57943322039
BAU,Business-as-Usual,LOWER,2044,3698858.779,3.698858779
BAU,Business-as-Usual,UPPER,2020,1330384.192,1.3303841920000001
