year,variant,BAU,CDS,RES,RSS,SCS
2020,CENTRAL,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2020,LOWER,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2020,UPPER,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2021,CENTRAL,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2021,LOWER,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2021,UPPER,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2022,CENTRAL,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2022,LOWER,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2022,UPPER,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2023,CENTRAL,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2023,LOWER,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2023,UPPER,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2024,CENTRAL,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2024,LOWER,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2024,UPPER,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2025,CENTRAL,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2025,LOWER,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2025,UPPER,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2026,CENTRAL,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2026,LOWER,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2026,UPPER,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2027,CENTRAL,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2027,LOWER,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2027,UPPER,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2028,CENTRAL,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2028,LOWER,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2028,UPPER,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2029,CENTRAL,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2029,LOWER,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2029,UPPER,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2030,CENTRAL,2.1807686100400003,2.1807686100400003,2.1807686100400003,1.92815007532046,1.92815007532046
2030,LOWER,2.1807686100400003,2.1807686100400003,2.1807686100400003,1.92815007532046,1.92815007532046
