scenario,label,variant,cumulative_generation_from_econs_t,cumulative_generation_from_flow42_t,cumulative_waste_generated_total_t,initial_generation_from_flow42_t,final_generation_from_flow42_t,mean_generation_from_flow42_t,max_generation_from_flow42_t,year_of_max_generation,cumulative_generation_from_econs_Mt,cumulative_generation_from_flow42_Mt,cumulative_waste_generated_Mtotal_Mt,initial_generation_from_flow42_Mt,final_generation_from_flow42_Mt,mean_generation_from_flow42_Mt,max_generation_from_flow42_Mt
BAU,Business-as-Usual,CENTRAL,60717367.481417954,60729375.30391001,60717367.48141793,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71736748141795,60.72937530391001,60.71736748141793,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
BAU,Business-as-Usual,LOWER,60717367.481386706,60729375.30391001,55165667.68279294,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71736748138671,60.72937530391001,55.165667682792936,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
BAU,Business-as-Usual,UPPER,60717367.48141854,60729375.30391001,66269067.28000215,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71736748141854,60.72937530391001,66.26906728000215,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
CDS,Collection & Disposal,CENTRAL,60717367.48142048,60729375.30391001,60717367.48142046,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71736748142048,60.72937530391001,60.71736748142046,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
CDS,Collection & Disposal,LOWER,60717367.48141927,60729375.30391001,50406388.571264625,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.717367481419274,60.72937530391001,50.40638857126462,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
CDS,Collection & Disposal,UPPER,60717603.37526352,60729375.30391001,71028866.31873603,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71760337526352,60.72937530391001,71.02886631873604,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
RES,Recycling,CENTRAL,60717367.481421776,60729375.30391001,60717367.48142176,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.717367481421775,60.72937530391001,60.71736748142176,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
RES,Recycling,LOWER,60717367.48141813,60729375.30391001,48697405.84376419,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.71736748141813,60.72937530391001,48.697405843764194,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
RES,Recycling,UPPER,60717550.18567475,60729375.30391001,72738037.88056204,1330384.192,3698858.779,2429175.0121564004,3698858.779,2044,60.717550185674746,60.72937530391001,72.73803788056203,1.3303841920000001,3.698858779,2.4291750121564,3.698858779
RSS,Reduce & Substitute,CENTRAL,47016021.17872264,47019191.7364309,47016021.17872262,1330384.192,1955758.6400613,1880767.6694572358,2103115.14595932,2037,47.016021178722646,47.0191917364309,47.01602117872262,1.3303841920000001,1.9557586400613,1.880767669457236,2.10311514595932
RSS,Reduce & Substitute,LOWER,47016021.17871314,47019191.7364309,39326940.62653937,1330384.192,1955758.6400613,1880767.6694572358,2103115.14595932,2037,47.016021178713146,47.0191917364309,39.32694062653937,1.3303841920000001,1.9557586400613,1.880767669457236,2.10311514595932
RSS,Reduce & Substitute,UPPER,47016021.17872914,47019191.7364309,54705101.73090249,1330384.192,1955758.6400613,1880767.6694572358,2103115.14595932,2037,47.01602117872914,47.0191917364309,54.70510173090249,1.3303841920000001,1.9557586400613,1.880767669457236,2.10311514595932
SCS,System Change,CENTRAL,47016021.17872114,47019191.73643091,47016021.17872112,1330384.192,1955758.6400613,1880767.6694572365,2103115.14595932,2037,47.01602117872114,47.01919173643091,47.016021178721125,1.3303841920000001,1.9557586400613,1.8807676694572366,2.10311514595932
SCS,System Change,LOWER,47016021.17871941,47019191.73643091,37710732.772477455,1330384.192,1955758.6400613,1880767.6694572365,2103115.14595932,2037,47.016021178719406,47.01919173643091,37.710732772477456,1.3303841920000001,1.9557586400613,1.8807676694572366,2.10311514595932
SCS,System Change,UPPER,47016469.56937376,47019191.73643091,56321935.65919275,1330384.192,1955758.6400613,1880767.6694572365,2103115.14595932,2037,47.016469569373754,47.01919173643091,56.32193565919275,1.3303841920000001,1.9557586400613,1.8807676694572366,2.10311514595932
