scenario,label,variant,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,final_year_total_leakage_t,leakage_avoided_vs_BAU_t,leakage_avoided_vs_BAU_Mt,required_investment_undiscounted_usd,required_investment_pv_3_5_usd,required_investment_pv_10_usd,required_investment_pv_3_5_Busd,required_investment_pv_10_Busd,investment_per_t_avoided_pv_3_5_usd,investment_per_t_avoided_pv_10_usd,net_total_npv_3_5_Busd,net_total_npv_10_Busd,net_cost_per_t_avoided_npv_3_5_usd,net_cost_per_t_avoided_npv_10_usd
BAU,Business-as-Usual,CENTRAL,12305989.070340866,10042779.481983121,25748301.531394053,48097070.08371804,3121756.7584933992,0.0,0.0,26552199705.295357,17216735290.048714,9137541930.201984,17.216735290048714,9.137541930201984,,,79.23073418193202,40.669405724483795,,
BAU,Business-as-Usual,LOWER,6669987.009512903,3902816.2616806757,17237690.262701295,27810493.533894874,1829938.9990545013,0.0,0.0,26477055194.972893,17159753186.957418,9097285376.280832,17.159753186957417,9.097285376280832,,,67.25443125381662,34.50445262348313,,
BAU,Business-as-Usual,UPPER,18413585.26021324,18416134.424417365,34082194.484115764,70911914.16874637,4539507.588253805,0.0,0.0,26584091611.898743,17237139461.708363,9148092745.900175,17.237139461708363,9.148092745900176,,,89.86123189064394,46.10999635473155,,
CDS,Collection & Disposal,CENTRAL,11653785.769982966,10131626.987208787,18276949.912793934,40062362.66998569,2608816.84147746,8034707.41373235,8.03470741373235,27469947825.01048,17755197607.835526,9371051279.48488,17.755197607835527,9.371051279484881,2209.8125909961086,1166.321409970517,77.9883561631087,39.73440591920323,9706.43386837168,4945.345719906616
CDS,Collection & Disposal,LOWER,4091536.368822098,3350016.720688824,4760714.155616804,12202267.245127726,172444.42317526808,15608226.288767148,15.608226288767147,26888414375.275963,17380373979.212715,9173485393.852043,17.380373979212717,9.173485393852044,1113.53933865765,587.7340079605312,66.81673447505051,34.05355615883209,4280.866591685492,2181.7697622272162
CDS,Collection & Disposal,UPPER,13798762.400648803,12655345.339734674,20794477.442297734,47248585.18268121,2765246.6303400323,23663328.986065157,23.663328986065157,28049323657.263397,18116689354.68432,9545970535.890577,18.11668935468432,9.545970535890577,765.6018882783932,403.40775980894324,87.56314241322936,44.93396084170352,3700.3729468830643,1898.8858612481865
RES,Recycling,CENTRAL,12967402.16621142,11503422.595922675,18956514.31444154,43427339.07657564,2742928.399773268,4669731.007142402,4.669731007142402,27258876096.7768,17628107132.90678,9313378992.277893,17.62810713290678,9.313378992277894,3774.9727138339244,1994.4144487194194,76.99148751504202,39.55546114962709,16487.349570517603,8470.60806910004
RES,Recycling,LOWER,4210799.609719675,3233089.0211815075,6798454.483872554,14242343.114773737,275757.97533244744,13568150.419121137,13.568150419121137,26431543654.45894,17121603753.28278,9073924315.774517,17.12160375328278,9.073924315774518,1261.8966642022099,668.7664888345387,64.46666459488291,33.16793618135842,4751.322958804482,2444.5436671026264
RES,Recycling,UPPER,16032758.948180085,14514451.946493471,20145758.41218771,50692969.306861274,2817644.9562778454,20218944.861885093,20.21894486188509,28010771631.451984,18085138900.665356,9523115155.313799,18.085138900665356,9.523115155313798,894.4650190306323,470.999610531898,85.7506924129517,44.42605683360865,4241.106200086685,2197.2490224925928
RSS,Reduce & Substitute,CENTRAL,8416505.43785281,5492528.966533013,17900940.453936838,31809974.858322654,1274148.1683282307,16287095.225395385,16.287095225395387,8759744948.532873,7037362907.218574,5010660318.904526,7.037362907218574,5.010660318904526,432.08213679783006,307.6460381401673,61.84728202458698,34.528255188639534,3797.31813246555,2119.976257939594
RSS,Reduce & Substitute,LOWER,4838899.764860403,973322.6327428557,9464914.949908352,15277137.347511608,629797.0662242593,12533356.186383266,12.533356186383266,8649370545.691376,6954514584.586146,4956357610.607976,6.954514584586146,4.956357610607976,554.8804710538592,395.45334361380066,52.48354848784854,29.330979329063567,4187.509531155648,2340.233445286579
RSS,Reduce & Substitute,UPPER,13009902.694409456,9065371.170993894,26427226.399810284,48502500.26521364,1998008.1359401648,22409413.90353273,22.40941390353273,8841832283.71513,7098516485.962489,5048847053.517536,7.098516485962489,5.0488470535175365,316.7649326537471,225.30027225395713,70.45061321486484,39.36580212366027,3143.7954387445475,1756.663618830944
SCS,System Change,CENTRAL,6682924.037632539,4470426.050331863,16368263.288011447,27521613.37597585,808419.5170072786,20575456.707742188,20.575456707742187,8994257581.66707,7154363700.355577,5046979573.669936,7.154363700355577,5.046979573669936,347.71348223164904,245.29125381556392,60.90015380813143,34.181197321427064,2959.8445698274954,1661.260685823089
SCS,System Change,LOWER,2558440.4593295716,499537.9026797178,5106743.427315731,8164721.78932502,120169.83805840726,19645771.744569853,19.645771744569853,8751386671.831615,6988933675.003984,4955476238.1799755,6.9889336750039845,4.955476238179975,355.74747410652094,252.24136280366199,52.75128289778638,29.54119829037274,2685.1214390377404,1503.692431860714
SCS,System Change,UPPER,9051044.180782603,8020780.456320477,17438507.618726596,34510332.25582968,954538.987995786,36401581.91291669,36.40158191291669,9308080467.651985,7372378786.524766,5167947657.486273,7.372378786524766,5.167947657486272,202.5290770099406,141.97041408391334,70.23196337000262,39.34157523230884,1929.3656945464122,1080.7655372347685
